module,module_size,od_overlap,expected,fold_enrichment,p_value,p_adj
mediumpurple3,86,2,4.2,0.48,0.925644146493828,1
turquoise,1163,259,56.4,4.6,4.49100187240065e-115,3.68262153536853e-113
floralwhite,76,0,3.7,0,1,1
blue,883,21,42.8,0.49,0.999964240134956,1
darkgreen,164,7,7.9,0.88,0.687834805957106,1
darkslateblue,69,1,3.3,0.3,0.96785807746941,1
green,507,6,24.6,0.24,0.999999074958861,1
greenyellow,243,9,11.8,0.76,0.839020403467485,1
red,485,11,23.5,0.47,0.999001195747044,1
lightgreen,182,4,8.8,0.45,0.978955887421564,1
purple,255,4,12.4,0.32,0.998668216288453,1
darkorange,148,3,7.2,0.42,0.977021244486596,1
lightcyan,189,2,9.2,0.22,0.999164001848967,1
grey60,187,1,9.1,0.11,0.999914273881091,1
orange,150,3,7.3,0.41,0.978720611676472,1
lightcyan1,80,0,3.9,0,1,1
magenta,266,11,12.9,0.85,0.747993465400486,1
tan,215,2,10.4,0.19,0.999746839341672,1
yellow,522,47,25.3,1.86,2.85216488177755e-05,0.00077959173435253
cyan,195,5,9.4,0.53,0.962989131532948,1
saddlebrown,114,5,5.5,0.91,0.653281672526401,1
plum3,34,0,1.6,0,1,1
antiquewhite4,45,0,2.2,0,1,1
blue2,36,1,1.7,0.57,0.833201201779994,1
black,316,0,15.3,0,1,1
white,140,3,6.8,0.44,0.968846880967258,1
steelblue,112,3,5.4,0.55,0.913468931924149,1
firebrick4,37,3,1.8,1.67,0.265950646572413,1
lightyellow,178,7,8.6,0.81,0.765703997480966,1
brown4,70,1,3.4,0.29,0.969424781994892,1
skyblue3,89,1,4.3,0.23,0.988178627976173,1
violet,108,4,5.2,0.76,0.774593683109297,1
midnightblue,194,1,9.4,0.11,0.999939801571917,1
orangered3,42,0,2,0,1,1
darkgrey,151,1,7.3,0.14,0.999473739799518,1
darkturquoise,154,6,7.5,0.8,0.763009010629196,1
salmon,199,1,9.6,0.1,0.999953241070943,1
skyblue1,42,2,2,0.98,0.610785956430142,1
plum2,66,1,3.2,0.31,0.962660593016981,1
lightcoral,40,6,1.9,3.1,0.0118853409006156,0.182706734048089
ivory,76,0,3.7,0,1,1
thistle,32,1,1.6,0.64,0.796419827961929,1
brown,750,30,36.3,0.83,0.887778761346915,1
pink,308,5,14.9,0.33,0.999342230830733,1
yellow4,43,0,2.1,0,1,1
darkolivegreen,95,2,4.6,0.43,0.948538312406766,1
royalblue,173,10,8.4,1.19,0.329299307549107,1
darkseagreen4,52,1,2.5,0.4,0.924885651597549,1
plum,42,0,2,0,1,1
brown2,36,0,1.7,0,1,1
paleturquoise,111,0,5.4,0,1,1
yellowgreen,90,4,4.4,0.92,0.640664845544157,1
lightsteelblue1,82,1,4,0.25,0.983219877986181,1
darkmagenta,95,2,4.6,0.43,0.948538312406766,1
maroon,56,1,2.7,0.37,0.93847801300347,1
thistle2,60,2,2.9,0.69,0.794842976421918,1
orangered4,87,2,4.2,0.47,0.928598054883697,1
lightsteelblue,41,0,2,0,1,1
coral1,48,4,2.3,1.72,0.202153388189853,1
darkorange2,75,15,3.6,4.13,2.43381606761162e-06,9.97864587720763e-05
palevioletred3,57,0,2.8,0,1,1
plum1,87,1,4.2,0.24,0.986934012130146,1
lavenderblush3,55,1,2.7,0.38,0.93532948661431,1
bisque4,70,1,3.4,0.29,0.969424781994892,1
lightpink4,55,1,2.7,0.38,0.93532948661431,1
salmon4,58,0,2.8,0,1,1
darkviolet,35,0,1.7,0,1,1
navajowhite2,57,2,2.8,0.72,0.770730488695773,1
darkred,165,11,8,1.38,0.177282266193035,1
thistle1,60,8,2.9,2.75,0.00802012390281328,0.164412540007672
salmon2,32,2,1.6,1.29,0.463731670234672,1
skyblue,114,2,5.5,0.36,0.976815161199518,1
sienna3,90,8,4.4,1.83,0.0698835171612905,0.818635486746545
coral2,44,0,2.1,0,1,1
darkolivegreen4,36,3,1.7,1.72,0.25269057955282,1
mediumorchid,44,2,2.1,0.94,0.63623475418565,1
skyblue2,44,0,2.1,0,1,1
indianred4,40,0,1.9,0,1,1
thistle3,33,0,1.6,0,1,1
mediumpurple2,41,6,2,3.02,0.0133687854181528,0.182706734048089
honeydew1,54,4,2.6,1.53,0.265299105458132,1
palevioletred2,31,0,1.5,0,1,1
