stored_sample_id,genotype,age,group,gene,ct_rep1,ct_rep2,ct_rep3,ct_mean,ct_sd,qc_fail,ref_geomean,delta_ct,cal_dct,delta_delta_ct,relative_expression
A001,DD,1-year,DD-1-year,NOTCH1,26.75,26.489,26.716,26.65166666666667,0.1418955014555897,False,23.583,3.0686666666666724,4.667041666666668,-1.5983749999999954,3.02802055762294
A001,DD,1-year,DD-1-year,GSN,25.086,24.354,24.514,24.65133333333333,0.3848393604263121,False,23.583,1.0683333333333316,2.78475,-1.7164166666666685,3.2861917553634146
A001,DD,1-year,DD-1-year,CCNG1,26.287,26.432,26.085,26.268,0.1742785127317754,False,23.583,2.6850000000000023,4.343083333333334,-1.658083333333332,3.155969654100685
A001,DD,1-year,DD-1-year,CHST11,27.785,27.722,27.366,27.624333333333336,0.2259299301405937,False,23.583,4.041333333333338,4.4579166666666685,-0.4165833333333308,1.3347627530233706
A001,DD,1-year,DD-1-year,ODC1,27.633,27.906,27.663,27.734,0.1497097191233751,False,23.583,4.151,3.9957857142857134,0.1552142857142864,0.897998981807277
A001,DD,1-year,DD-1-year,GALNT,27.894,27.868,27.94,27.900666666666663,0.0364600237703356,False,23.583,4.317666666666668,4.662041666666667,-0.3443749999999994,1.269600850727846
A001,DD,1-year,DD-1-year,FUT1/2,26.866,26.79,27.101,26.919,0.162132661731065,False,23.583,3.336000000000002,3.833309523809524,-0.497309523809522,1.4115786588517178
A002,DD,1-year,DD-1-year,PRKCD,26.011,25.589,25.388,25.662666666666667,0.3179659310890598,False,21.998666666666665,3.6640000000000015,3.7783333333333338,-0.1143333333333322,1.082474720401528
A002,DD,1-year,DD-1-year,NOTCH1,26.148,26.311,25.389,25.94933333333333,0.4920592782717684,False,21.998666666666665,3.9506666666666663,4.667041666666668,-0.7163750000000011,1.6430484238971776
A002,DD,1-year,DD-1-year,GSN,24.453,24.547,24.322,24.44066666666667,0.1130058995510123,False,21.998666666666665,2.442000000000004,2.78475,-0.3427499999999961,1.2681716228880189
A002,DD,1-year,DD-1-year,CCNG1,26.118,26.077,25.827,26.00733333333333,0.1575129624295504,False,21.998666666666665,4.00866666666667,4.343083333333334,-0.3344166666666641,1.2608674918135718
A002,DD,1-year,DD-1-year,CHST11,27.298,27.459,27.691,27.482666666666663,0.1975660227198327,False,21.998666666666665,5.483999999999998,4.4579166666666685,1.0260833333333297,0.4910414331470961
A002,DD,1-year,DD-1-year,ODC1,27.352,27.39,27.097,27.279666666666667,0.1593308925893945,False,21.998666666666665,5.281000000000002,3.9957857142857134,1.285214285714289,0.4103098559247337
A002,DD,1-year,DD-1-year,GALNT,28.278,27.815,28.085,28.05933333333333,0.2325646863419568,False,21.998666666666665,6.060666666666666,4.662041666666667,1.3986249999999991,0.3792904625746164
A002,DD,1-year,DD-1-year,FUT1/2,26.805,26.696,26.669,26.723333333333333,0.0720023147776044,False,21.998666666666665,4.724666666666668,3.833309523809524,0.8913571428571436,0.5391067420704883
A003,DD,1-year,DD-1-year,PRKCD,25.92,25.705,25.682,25.769,0.1312745215188404,False,22.93883333333333,2.830166666666667,3.7783333333333338,-0.9481666666666668,1.9294192515462256
A003,DD,1-year,DD-1-year,NOTCH1,26.575,26.396,26.342,26.43766666666667,0.121960376079009,False,22.93883333333333,3.4988333333333337,4.667041666666668,-1.1682083333333342,2.2473243089886514
A003,DD,1-year,DD-1-year,GSN,25.004,24.519,24.593,24.70533333333333,0.2612859225701492,False,22.93883333333333,1.766499999999997,2.78475,-1.0182500000000028,2.025460569862998
A003,DD,1-year,DD-1-year,CCNG1,26.397,26.472,26.371,26.41333333333333,0.0524436205208363,False,22.93883333333333,3.4744999999999955,4.343083333333334,-0.8685833333333388,1.82586909219476
A003,DD,1-year,DD-1-year,CHST11,27.772,27.656,27.763,27.73033333333333,0.0645316459834507,False,22.93883333333333,4.791499999999999,4.4579166666666685,0.3335833333333307,0.7935630000797083
A003,DD,1-year,DD-1-year,ODC1,27.511,27.356,27.495,27.454000000000004,0.085246700815925,False,22.93883333333333,4.515166666666669,3.9957857142857134,0.5193809523809558,0.6976711334393683
A003,DD,1-year,DD-1-year,GALNT,27.493,27.456,27.511,27.486666666666665,0.0280416357107305,False,22.93883333333333,4.54783333333333,4.662041666666667,-0.1142083333333374,1.0823809351769669
A003,DD,1-year,DD-1-year,FUT1/2,27.046,27.161,27.015,27.074,0.0769220384545294,False,22.93883333333333,4.135166666666667,3.833309523809524,0.3018571428571426,0.8112074781967862
A004,DD,1-year,DD-1-year,PRKCD,25.648,25.466,25.55,25.554666666666662,0.0910896993810672,False,22.514,3.040666666666666,3.7783333333333338,-0.7376666666666671,1.667476774196926
A004,DD,1-year,DD-1-year,NOTCH1,26.209,25.731,26.605,26.18166666666667,0.4376406440600927,False,22.514,3.667666666666669,4.667041666666668,-0.9993749999999988,1.9991337536741585
A004,DD,1-year,DD-1-year,GSN,24.428,24.123,24.561,24.370666666666665,0.2245580845423586,False,22.514,1.8566666666666656,2.78475,-0.9280833333333344,1.9027464564345569
A004,DD,1-year,DD-1-year,CCNG1,25.94,26.149,26.252,26.113666666666663,0.1589727439951043,False,22.514,3.599666666666664,4.343083333333334,-0.7434166666666702,1.6741359249671213
A004,DD,1-year,DD-1-year,CHST11,27.332,27.476,27.63,27.479333333333333,0.1490279615821577,False,22.514,4.965333333333334,4.4579166666666685,0.5074166666666651,0.7034809850449362
A004,DD,1-year,DD-1-year,ODC1,27.277,27.428,27.099,27.268,0.164684546937471,False,22.514,4.754000000000001,3.9957857142857134,0.758214285714288,0.5912276776433506
A004,DD,1-year,DD-1-year,GALNT,27.468,27.459,27.236,27.387666666666664,0.1314242494113366,False,22.514,4.873666666666665,4.662041666666667,0.2116249999999979,0.8635639957599842
A005,DD,1-year,DD-1-year,PRKCD,25.712,25.067,25.757,25.512,0.3860375629391526,False,22.71033333333333,2.8016666666666694,3.7783333333333338,-0.9766666666666644,1.9679133070162207
A005,DD,1-year,DD-1-year,NOTCH1,26.767,26.826,26.86,26.817666666666668,0.047056703383613,False,22.71033333333333,4.107333333333337,4.667041666666668,-0.5597083333333313,1.473971197464662
A005,DD,1-year,DD-1-year,GSN,24.646,24.68,24.511,24.612333333333336,0.0893886644565932,False,22.71033333333333,1.9020000000000048,2.78475,-0.8827499999999953,1.843886686924675
A005,DD,1-year,DD-1-year,CCNG1,26.622,26.466,26.478,26.522,0.086810137656842,False,22.71033333333333,3.811666666666671,4.343083333333334,-0.5314166666666633,1.4453477704546722
A005,DD,1-year,DD-1-year,CHST11,27.618,27.649,27.591,27.619333333333334,0.0290229794013869,False,22.71033333333333,4.9090000000000025,4.4579166666666685,0.4510833333333339,0.7314933564187
A005,DD,1-year,DD-1-year,ODC1,27.383,27.598,27.511,27.49733333333333,0.1081495877631224,False,22.71033333333333,4.786999999999999,3.9957857142857134,0.7912142857142856,0.5778575168367277
A005,DD,1-year,DD-1-year,GALNT,27.251,27.4,27.216,27.289,0.0977087508875214,False,22.71033333333333,4.578666666666667,4.662041666666667,-0.0833750000000002,1.059493693295191
A005,DD,1-year,DD-1-year,FUT1/2,27.28,27.129,27.364,27.25766666666667,0.1190812047862015,False,22.71033333333333,4.547333333333338,3.833309523809524,0.7140238095238138,0.6096174861303267
A006,DD,1-year,DD-1-year,PRKCD,25.718,25.678,25.908,25.768,0.1228820572744455,False,22.707166666666662,3.060833333333335,3.7783333333333338,-0.7174999999999989,1.6443301572543902
A006,DD,1-year,DD-1-year,NOTCH1,26.634,26.761,26.352,26.58233333333333,0.2093378449619971,False,22.707166666666662,3.8751666666666686,4.667041666666668,-0.7918749999999992,1.731323116823406
A006,DD,1-year,DD-1-year,GSN,24.711,24.335,24.136,24.394,0.2920051369411156,False,22.707166666666662,1.686833333333336,2.78475,-1.0979166666666638,2.140453755825221
A006,DD,1-year,DD-1-year,CCNG1,26.026,26.372,26.212,26.203333333333333,0.1731627365611127,False,22.707166666666662,3.4961666666666678,4.343083333333334,-0.846916666666667,1.7986527270393164
A006,DD,1-year,DD-1-year,CHST11,27.63,27.575,27.344,27.516333333333336,0.1517574819682145,False,22.707166666666662,4.80916666666667,4.4579166666666685,0.3512500000000012,0.7839046019892174
A006,DD,1-year,DD-1-year,ODC1,27.139,27.106,27.458,27.234333333333336,0.1944025034132349,False,22.707166666666662,4.52716666666667,3.9957857142857134,0.5313809523809563,0.6918921355849695
A006,DD,1-year,DD-1-year,GALNT,27.829,28.187,28.336,28.11733333333333,0.2605807616331891,False,22.707166666666662,5.410166666666669,4.662041666666667,0.7481250000000017,0.5953768369756586
A006,DD,1-year,DD-1-year,FUT1/2,27.416,27.377,27.131,27.308000000000003,0.1545218431161107,False,22.707166666666662,4.6008333333333375,3.833309523809524,0.7675238095238135,0.5874248449805651
A007,DD,1-year,DD-1-year,PRKCD,25.725,25.444,25.688,25.619,0.152679402671088,False,22.111,3.507999999999999,3.7783333333333338,-0.2703333333333346,1.2060864606438166
A007,DD,1-year,DD-1-year,NOTCH1,26.209,26.202,26.213,26.208,0.0055677643628294,False,22.111,4.096999999999998,4.667041666666668,-0.5700416666666701,1.4845664459701713
A007,DD,1-year,DD-1-year,GSN,25.102,24.391,24.444,24.645666666666667,0.3960837453535983,False,22.111,2.5346666666666664,2.78475,-0.2500833333333334,1.189275808283214
A007,DD,1-year,DD-1-year,CCNG1,26.308,26.298,26.213,26.273,0.0522015325445517,False,22.111,4.161999999999996,4.343083333333334,-0.1810833333333388,1.1337348979827917
A007,DD,1-year,DD-1-year,CHST11,27.386,27.304,27.156,27.282,0.1165675769671825,False,22.111,5.170999999999999,4.4579166666666685,0.7130833333333308,0.6100150182692742
A007,DD,1-year,DD-1-year,ODC1,26.848,27.109,27.459,27.138666666666666,0.306578429334703,False,22.111,5.027666666666665,3.9957857142857134,1.0318809523809516,0.4890720920755058
A007,DD,1-year,DD-1-year,GALNT,27.479,27.783,27.323,27.528333333333336,0.2339344637571249,False,22.111,5.417333333333335,4.662041666666667,0.7552916666666682,0.5924266037044191
A007,DD,1-year,DD-1-year,FUT1/2,26.642,26.719,26.947,26.769333333333336,0.1586074819588697,False,22.111,4.658333333333335,3.833309523809524,0.8250238095238109,0.5644728865454833
A008,DD,1-year,DD-1-year,PRKCD,25.35,25.182,25.157,25.229666666666663,0.1049587220450666,False,22.529166666666665,2.700499999999998,3.7783333333333338,-1.0778333333333356,2.11086356466829
A008,DD,1-year,DD-1-year,NOTCH1,26.482,26.632,26.652,26.58866666666667,0.0929157324317767,False,22.529166666666665,4.059500000000003,4.667041666666668,-0.6075416666666644,1.5236606979293188
A008,DD,1-year,DD-1-year,GSN,24.544,24.694,24.481,24.573,0.1094212045263609,False,22.529166666666665,2.043833333333332,2.78475,-0.740916666666668,1.6712373805990963
A008,DD,1-year,DD-1-year,CCNG1,26.439,26.526,26.456,26.47366666666667,0.0461121820491432,False,22.529166666666665,3.944500000000005,4.343083333333334,-0.3985833333333293,1.3182128447110764
A008,DD,1-year,DD-1-year,CHST11,27.401,27.279,27.459,27.379666666666665,0.0918767290086739,False,22.529166666666665,4.8505,4.4579166666666685,0.3925833333333317,0.7617643442543327
A008,DD,1-year,DD-1-year,ODC1,27.452,27.542,27.448,27.480666666666668,0.0531538647074073,False,22.529166666666665,4.951500000000003,3.9957857142857134,0.9557142857142896,0.5155862570473618
A008,DD,1-year,DD-1-year,GALNT,27.835,27.713,27.856,27.80133333333333,0.0772161468433472,False,22.529166666666665,5.272166666666667,4.662041666666667,0.610125,0.6551399359200852
A008,DD,1-year,DD-1-year,FUT1/2,26.853,26.849,26.842,26.848,0.0055677643628314,False,22.529166666666665,4.318833333333334,3.833309523809524,0.4855238095238099,0.7142376994389131
A009,DD,2-year,DD-2-year,PRKCD,25.581,25.429,25.476,25.49533333333333,0.0778224474899974,False,22.81833333333333,2.677,3.7783333333333338,-1.1013333333333342,2.145528898807868
A009,DD,2-year,DD-2-year,GSN,24.918,25.173,24.697,24.92933333333333,0.2382022949791481,False,22.81833333333333,2.1110000000000007,2.78475,-0.6737499999999992,1.595214026139736
A009,DD,2-year,DD-2-year,CCNG1,26.48,26.643,26.484,26.535666666666668,0.0929749070090058,False,22.81833333333333,3.717333333333336,4.343083333333334,-0.6257499999999983,1.5430127681531058
A009,DD,2-year,DD-2-year,CHST11,27.705,27.706,27.712,27.707666666666668,0.0037859388972007,False,22.81833333333333,4.889333333333337,4.4579166666666685,0.4314166666666681,0.7415332727839855
A009,DD,2-year,DD-2-year,ODC1,27.859,27.955,27.991,27.935,0.0682348884369265,False,22.81833333333333,5.116666666666671,3.9957857142857134,1.1208809523809573,0.4598129641365567
A009,DD,2-year,DD-2-year,GALNT,27.963,28.043,27.879,27.96166666666667,0.0820081296783018,False,22.81833333333333,5.143333333333338,4.662041666666667,0.4812916666666709,0.7163359903838786
A009,DD,2-year,DD-2-year,FUT1/2,27.474,27.589,27.59,27.551,0.0666858305789162,False,22.81833333333333,4.73266666666667,3.833309523809524,0.8993571428571463,0.5361255727197045
A010,DD,2-year,DD-2-year,PRKCD,25.436,25.447,25.581,25.488,0.0807279381626955,False,22.5435,2.944499999999998,3.7783333333333338,-0.8338333333333359,1.782415067236432
A010,DD,2-year,DD-2-year,NOTCH1,26.54,26.514,26.548,26.534,0.0177763888346307,False,22.5435,3.990500000000001,4.667041666666668,-0.676541666666667,1.5983038109732517
A010,DD,2-year,DD-2-year,GSN,24.062,25.041,24.519,24.540666666666667,0.4898595036674628,False,22.5435,1.997166666666665,2.78475,-0.7875833333333349,1.7261805046706802
A010,DD,2-year,DD-2-year,CCNG1,25.993,25.925,25.49,25.802666666666667,0.2729035238565703,False,22.5435,3.259166666666665,4.343083333333334,-1.0839166666666689,2.119783119783786
A010,DD,2-year,DD-2-year,CHST11,28.065,27.943,27.846,27.95133333333333,0.1097375657344988,False,22.5435,5.407833333333333,4.4579166666666685,0.949916666666664,0.5176623624077035
A010,DD,2-year,DD-2-year,ODC1,27.102,28.079,27.511,27.564,0.4906516075587649,False,22.5435,5.020499999999995,3.9957857142857134,1.0247142857142817,0.4915076288138196
A010,DD,2-year,DD-2-year,GALNT,28.374,28.584,28.417,28.45833333333333,0.1109339142612994,False,22.5435,5.9148333333333305,4.662041666666667,1.2527916666666634,0.4196354119078686
A010,DD,2-year,DD-2-year,FUT1/2,27.086,26.997,27.172,27.085,0.0875042856093349,False,22.5435,4.541499999999996,3.833309523809524,0.7081904761904716,0.6120873781716825
A011,DD,2-year,DD-2-year,NOTCH1,26.599,26.257,26.055,26.30366666666667,0.2749860602527579,False,22.8535,3.4501666666666715,4.667041666666668,-1.2168749999999964,2.324426810074922
A011,DD,2-year,DD-2-year,GSN,25.165,25.145,24.953,25.087666666666667,0.1170526946863391,False,22.8535,2.2341666666666704,2.78475,-0.5505833333333294,1.4646777979837384
A011,DD,2-year,DD-2-year,CCNG1,26.244,25.979,25.906,26.043,0.1778566838777788,False,22.8535,3.189499999999999,4.343083333333334,-1.1535833333333354,2.2246576420573945
A011,DD,2-year,DD-2-year,CHST11,28.242,27.284,27.898,27.808,0.4852999072738433,False,22.8535,4.9545,4.4579166666666685,0.4965833333333309,0.7087833733618061
A011,DD,2-year,DD-2-year,ODC1,27.464,27.234,27.342,27.346666666666664,0.1150709925799416,False,22.8535,4.493166666666667,3.9957857142857134,0.4973809523809538,0.7083916184494878
A011,DD,2-year,DD-2-year,GALNT,28.302,28.453,28.042,28.265666666666664,0.2078950055516795,False,22.8535,5.412166666666668,4.662041666666667,0.7501250000000006,0.5945520412607345
