omitted,n_groups,rho
1-DD,5,-0.7999999999999999
1-GD,5,-0.8999999999999998
1-GG,5,-0.7999999999999999
2-DD,5,-0.8999999999999998
2-GD,5,-0.8999999999999998
2-GG,5,-0.8999999999999998
