Gene_id,H_infected,P1_infected,P2_infected,H_control,P1_control,P2_control,H_response,P1_response,P2_response,MP_response,response_vs_HP,infected_vs_HP,control_vs_HP,mode,is_infection_induced,age
transcript_HQ_Dd_transcript10465/f3p0/4228,1.47320859964675,0.829422425809332,0,0.579940392520127,4.81521635647118,0.0390102175811079,1.33008041656726,-2.52312472086593,-2.29308255161379,-2.40810363623986,3.62316296818105,0.82125260230142,-3.03195253513177,True Over-dominance (High),TRUE,1-year
transcript_HQ_Ss_transcript21817/f9p0/2719,3.60804222982313,0.0856179663672944,6.08851710287894,7.59656355698944,0.0576076848735414,16.6403482567121,-1.07203558247282,0.50009447731368,-1.44902196381711,-0.474463743251718,-1.5721300597865,-0.753249236713372,-1.13023561805766,Additive,FALSE,1-year
transcript_HQ_Dd_transcript8903/f8p0/4425,0,4.0062518768279,0,0,4.90477333636901,0,0,-0.291275132802237,0,-0.145637566401118,0,-8.64970593965496,-8.94098107245719,Low-Parent Dominance,FALSE,1-year
transcript_HQ_Ss_transcript26662/f3p0/2203,0.880709057717908,1.23552080869956,1.1563448209173,1.98127726541293,1.16837516281593,1.74893405370932,-1.16066794572151,0.0799501972105689,-0.592707020682464,-0.256378411735948,-1.24061814293208,-0.48372295447851,0.178992721851789,High-Parent Dominance,FALSE,1-year
transcript_HQ_Dd_transcript1135/f4p0/6504,0.364798510970427,1.69107891421331,0,0.219930369615071,0.870196734944243,0,0.704918188967257,0.950552144929061,0,0.47527607246453,-0.245633955961803,-2.18226294369601,-1.93662898773421,Additive,FALSE,1-year
transcript_HQ_Dd_transcript4872/f2p0/5156,0.60781056726168,1.61642738077488,0.267721106394377,1.24943263962897,1.72482420393982,0.649042858175024,-1.02753750934916,-0.0930830685075949,-1.24673546407724,-0.669909266292418,-0.934454440841566,-1.39646995547367,-0.462015514632104,Additive,FALSE,1-year
transcript_HQ_Dd_transcript29204/f3p0/1995,2.27471575858982,2.0072668217593,2.44198416600253,1.41098647593513,0.873511214719511,2.68819847116924,0.685121866833574,1.19108156768378,-0.138046809719779,0.526517378982001,-0.505959700850206,-0.101934971867192,-0.925103648420545,High-Parent Dominance,FALSE,1-year
transcript_HQ_Dd_transcript23345/f16p0/2550,3.22981136331025,21.8385157182979,1.87405979537549,6.64624707131395,25.8269478573627,3.59969010628664,-1.03879917022639,-0.241900379809559,-0.938030233100536,-0.589965306455047,-0.796898790416827,-2.75355355304326,-1.95665476262644,Additive,FALSE,1-year
transcript_HQ_Ss_transcript753/f4p0/7115,0.616008577518965,0.0306881796940665,0.505898225820836,0.870405328953821,0.0632832778609279,2.5959031144124,-0.491985452675922,-0.848874296026611,-2.33662505637892,-1.59274967620276,0.35688884335069,0.279095939927815,-1.56554366377518,High-Parent Dominance,FALSE,1-year
transcript_HQ_Sd_transcript13819/f2p0/1908,17.0802338529416,1.60610198235866,2.61769072159141,2.21830287896836,9.04877596842526,0.86561120133447,2.9391548907243,-2.48679788426679,1.58543316532484,-0.450682359470975,1.35372172539946,2.70130475216707,-2.02337078260896,True Over-dominance (High),TRUE,1-year
transcript_HQ_Dd_transcript36657/f2p0/1039,0.141130124789789,0.154898475822571,0,0.967480808937324,8.31526929578103,0.22187432831409,-2.6932771162176,-5.65784697056246,-4.53527119747542,-5.09655908401894,1.84199408125782,-0.12578680204447,-3.09035665638933,High-Parent Dominance,FALSE,1-year
transcript_HQ_Sd_transcript2866/f2p0/3696,0.499163709172543,0.229086374389948,1.04584167077449,1.01690213877793,0.0379331153675752,0.902815299498944,-1.01209720354859,2.31843729801505,0.209998633274021,1.26421796564454,-3.33053450156364,-1.05219201150842,0.169903825314194,Additive,FALSE,1-year
transcript_HQ_Dd_transcript36653/f2p0/1034,3.18743694859865,384.199958569688,2.1670126414314,25.8635519045887,303.713058906581,6.44338084598652,-3.01649030438563,0.339138470303446,-1.56770538361705,-0.614283456656803,-3.35562877468907,-6.9088351929773,-3.55320641828823,Additive,FALSE,1-year
transcript_HQ_Ss_transcript3520/f2p0/5730,0.0931942380770234,0.0236878921234442,0.207994114241056,0.0898668310774211,0.0159762276289078,1.3713756092759,0.0472849209299121,0.375038228692484,-2.66374456713758,-1.14435316922255,-0.327753307762572,-1.07892676418946,-3.78995625225696,Additive,FALSE,1-year
transcript_HQ_Dd_transcript1373/f2p0/6325,1.64427303103867,1.03664031259781,0.900758206145096,1.78869548948999,2.67421425286716,0.991186514880823,-0.120753600805627,-1.35873409920067,-0.136570770251348,-0.747652434726009,0.0158171694457208,0.660431632859853,-0.57754886553519,Additive,FALSE,1-year
transcript_HQ_Sd_transcript16326/f5p0/1400,27.2591587597549,0.605124623978418,46.7376347463653,23.7869738611332,0.828327494910487,42.2335468453104,0.196492069418317,-0.446635217324126,0.146162400839281,-0.150236408242422,0.0503296685790357,-0.77762317742903,-0.827952846008066,Additive,FALSE,1-year
transcript_HQ_Dd_transcript31816/f2p0/1703,1.38783669723709,0,0,0.608304324165374,2.82351337701482,0,1.17680682684279,-8.1464482032006,0,-4.0732241016003,1.17680682684279,7.12705201697772,-2.19620301306567,True Over-dominance (High),TRUE,1-year
transcript_HQ_Sd_transcript11999/f2p0/2178,3.36027824700737,1.90587524475286,0.523766628211799,3.97964558483148,2.28992076810912,1.33274432158101,-0.243392888260772,-0.263580540656748,-1.33090360616935,-0.797242073413049,0.0201876523959762,0.81486408310907,0.794676430713094,Additive,FALSE,1-year
transcript_HQ_Ss_transcript21127/f3p0/2817,0.382102480724627,0.55910626706551,0.521224835539021,0.821653615125535,0.442654457813838,2.43016466820373,-1.0847519995792,0.330287904327022,-2.19958400613796,-0.934648050905469,-1.41503990390622,-0.537467297268031,-1.55292383350785,Low-Parent Dominance,FALSE,1-year
transcript_HQ_Dd_transcript10508/f12p0/4165,2.82236472917895,7.16631572141048,1.74000031051127,3.27507080357001,3.90402348998493,2.2099955939407,-0.213917409419258,0.87459094858617,-0.343201635197062,0.265694656694554,-1.08850835800543,-1.34123630683874,-0.252727948833315,Additive,FALSE,1-year
transcript_HQ_Dd_transcript22913/f2p0/2690,0.567640162116233,1.91517354610869,0.127919208586168,0.601523721202287,0.439641823746376,0.0898733219551495,-0.0822374091529619,2.09814036422426,0.465652137449172,1.28189625083672,-2.18037777337722,-1.73674554601441,0.443632227362813,Additive,FALSE,1-year
transcript_HQ_Dd_transcript17602/f2p0/3282,0.22488200861597,1.99568055614897,0.246547500276438,0.714357404414677,1.0795366635348,0.409366628111991,-1.62476550091092,0.880377102060482,-0.708986092430782,0.0856955048148497,-2.5051426029714,-3.09408373104444,-0.588941128073042,Low-Parent Dominance,FALSE,1-year
transcript_HQ_Ss_transcript19919/f4p0/2969,0.614323894177599,0.0129169294519087,0.167707789690999,1.08727254410866,0.164580981218648,4.80981351957533,-0.813555324606777,-2.92941073972007,-4.76139850176592,-3.845404620743,2.1158554151133,1.81278775956461,-2.13505541759453,True Over-dominance (High),TRUE,1-year
transcript_HQ_Dd_transcript1270/f2p0/6404,0.527342532594338,3.0236803507321,0.0238979038846893,1.4024025309259,2.63829057420706,0.0292987603074194,-1.39423736924102,0.196007656015409,-0.213287737465975,-0.00864004072528309,-1.59024502525643,-2.49715513921701,-0.906910113960576,Additive,FALSE,1-year
transcript_HQ_Dd_transcript5207/f3p0/5084,0.0576362014111015,1.3690202679652,0.0105969767090374,0.917565995322259,0.62266068003048,0.00648542552696044,-3.77758238918497,1.1241398208164,0.321241462712503,0.72269064176445,-4.90172221000137,-4.34970421331203,0.552017996689333,Additive,FALSE,1-year
transcript_HQ_Dd_transcript2869/f2p0/5761,0.919471943984133,6.89700670393558,0.440589493896899,3.30044312935636,1.74633624860542,1.3189961301106,-1.83254112294574,1.97549155026512,-1.56045132295898,0.207520113653069,-3.80803267321086,-2.89357740061707,0.914455272593792,Additive,FALSE,1-year
transcript_HQ_Ss_transcript20898/f9p0/2842,7.17541317316799,2.47822740156892,7.0429727182903,6.74389281279689,1.80931970739686,6.76471803015591,0.0893518330919122,0.451719252069171,0.0580705577587504,0.254894904913961,-0.362367418977259,0.0268396572115275,-0.00444161812163428,High-Parent Dominance,FALSE,1-year
transcript_HQ_Ss_transcript86/f2p0/8672,0.395787994826823,0.812052158430572,0.492627757353589,1.29791876410153,1.2852824789113,1.83934835590689,-1.68847484772036,-0.655964919731928,-1.87945475564077,-1.26770983768635,-1.03250992798843,-1.01850375062149,-0.499744069590971,Low-Parent Dominance,FALSE,1-year
transcript_HQ_Sd_transcript1091/f3p0/4360,0.102796790267509,0,0.612122353185435,1.48455526261077,0,0.302129626885532,-3.72791832276245,0,0.995053041730983,0.497526520865491,-4.72297136449344,-2.46347232882423,2.25949903566921,Additive,FALSE,1-year
transcript_HQ_Sd_transcript3643/f4p0/3503,0.547341665143499,0.842501793706483,1.29623958153994,2.55240601828773,0.66317840708135,4.91302433614582,-2.20086517767644,0.340713968221763,-1.91412534088982,-0.786705686334027,-2.5415791458982,-1.22878561643101,-0.942045779644388,Additive,FALSE,1-year
transcript_HQ_Sd_transcript13616/f2p0/1930,6.12977637457235,2.1983381052426,1.30445618228768,13.0152718851308,1.73756923880736,8.96882815630412,-1.08505547190709,0.337611454902476,-2.77206111824574,-1.21722483167163,-1.42266692680957,1.47522503882062,0.536714413617177,Additive,FALSE,1-year
transcript_HQ_Sd_transcript4117/f2p0/3424,1.58816554798683,2.63727475171413,0,0,4.38557018259014,0,7.32027304916025,-0.73154238531775,0,-0.365771192658875,7.32027304916025,-0.728091075668838,-8.77990651014684,Additive,FALSE,1-year
transcript_HQ_Ss_transcript6286/f18p0/4992,3.42953329699604,0.125108692046079,5.03589040345123,1.62514352954061,0.0407047574675572,1.83526647825611,1.07279554387675,1.4139274693822,1.45127969785245,1.43260358361732,-0.378484153975695,-0.552896049406832,-0.174411895431137,Additive,FALSE,1-year
transcript_HQ_Sd_transcript11328/f10p0/2235,80.919527095377,30.5931341828439,91.076585672992,131.353880337958,28.837398548907,99.7656986507832,-0.698830578070123,0.0852381894825688,-0.131449871946812,-0.0231058412321218,-0.784068767552692,-0.170572438656924,0.396808267466387,High-Parent Dominance,FALSE,1-year
transcript_HQ_Dd_transcript20205/f3p0/2979,5.14912393687249,3.39540732125139,1.10096338315759,2.32932950824284,2.57453062570517,0.347316669713963,1.14103101651919,0.39792507174313,1.63653614101696,1.01723060638005,-0.495505124497772,0.599298735040707,-0.143807209735351,Additive,FALSE,1-year
transcript_HQ_Dd_transcript32693/f4p0/1596,1.97802901244628,4.9181622793246,1.69812768745019,3.71724611654152,4.98693949300078,2.03383087316616,-0.906771274744983,-0.0199949855754012,-0.258859993733679,-0.13942748965454,-0.886776289169582,-1.30971095215257,-0.422934662982993,Low-Parent Dominance,FALSE,1-year
transcript_HQ_Ss_transcript11657/f4p0/4062,0.876701393477659,1.28304686551497,0.587421786600206,0.824683930986481,0.942986988003028,0.652527777410835,0.087218345807816,0.44024614454026,-0.149231092472027,0.145507526034117,-0.353027798732444,-0.544254317615216,-0.191226518882772,Additive,FALSE,1-year
transcript_HQ_Dd_transcript4323/f2p0/5306,1.06436101910453,2.17825653808238,0.591981749947875,1.82512123774344,2.09365260246737,1.12559208654226,-0.772396512507008,0.0568854035592656,-0.915653045559636,-0.429383821000185,-0.829281916066274,-1.02630301524724,-0.197021099180966,Additive,FALSE,1-year
transcript_HQ_Sd_transcript6220/f2p0/3073,0.414765257064911,0,0,1.54330592351754,0,0.231313510461589,-1.87060432306979,0,-4.59283678512104,-2.29641839256052,-1.87060432306979,5.40859386312457,2.68636140107332,Additive,FALSE,1-year
transcript_HQ_Sd_transcript10042/f5p0/2463,2.69253588966716,4.85412832527661,0.941658785409143,5.1173001727989,4.59834635880885,2.32065591921102,-0.923885584312605,0.0779321380129708,-1.29221973427691,-0.607143798131972,-1.00181772232558,-0.847867513345377,0.153950208980199,Additive,FALSE,1-year
transcript_HQ_Ss_transcript23307/f3p0/2520,2.14760203100824,1.78480488557076,0.532423850326061,2.16707283715444,2.41198647871726,1.58025097245825,-0.0129608910711951,-0.432363794648023,-1.55176194859957,-0.992062871623798,0.419402903576828,0.265601768495987,-0.153801135080841,High-Parent Dominance,FALSE,1-year
transcript_HQ_Dd_transcript34949/f6p0/1253,0.163098992982116,0.0605357243154686,0.022475621367771,26.8359882685517,9.31690484025968,0,-7.27696537316486,-7.046900461696,1.69935712954154,-2.67377166607723,-8.9763225027064,1.29517130046774,1.52523621193659,Additive,FALSE,1-year
transcript_HQ_Ss_transcript13845/f4p0/3726,0.268044284590615,0,2.77226585235184,4.03365220219806,0,7.15072313222995,-3.86227232832932,0,-1.36384500720617,-0.681922503603087,-3.86227232832932,-3.32287369265116,-0.824446371528005,Additive,FALSE,1-year
transcript_HQ_Dd_transcript35681/f3p0/1200,0.0258914724754448,12.2788169483188,0.0105969767090374,0.0737323092311484,4.26863292042036,0,-1.22214330132859,1.52212421799523,1.04243258949711,1.28227840374617,-2.74426751932382,-8.41948920590311,-5.67522168657929,Additive,FALSE,1-year
transcript_HQ_Dd_transcript20384/f3p0/2958,0.528814399352879,2.01487197480118,0.0316045859597493,0.642753581297798,0.735580396526196,0.11880462984944,-0.276750061725927,1.44139486162449,-1.63036998511481,-0.0944875617451605,-1.71814492335041,-1.90997038336962,-0.191825460019203,Additive,FALSE,1-year
transcript_HQ_Dd_transcript17792/f3p0/3284,0.966462090683678,3.69423816855645,0.133980325245994,3.58552954948296,6.59035637003605,0.589625275370807,-1.88056832602261,-0.833367059915152,-2.05818951453129,-1.44577828722322,-1.04720126610746,-1.92354092106292,-0.876339654955463,Additive,FALSE,1-year
transcript_HQ_Ss_transcript31472/f3p0/1609,1.32934311209382,1.44529093357394,2.18785086958562,2.29817585463414,0.856499862655449,2.2797957778978,-0.785227547064925,0.74803617161682,-0.0591254344445968,0.344455368586111,-1.53326371868174,-0.714567901920101,0.0115342107002274,Low-Parent Dominance,FALSE,1-year
transcript_HQ_Sd_transcript4548/f3p0/3386,0.51115252682152,1.34973628940166,0.464932229861552,1.5169585885247,1.17405858424711,0.956676625328401,-1.55088336038573,0.19958641511943,-1.02531169334494,-0.412862639112758,-1.75046977550516,-1.38354930273064,0.366920472774523,Low-Parent Dominance,FALSE,1-year
transcript_HQ_Dd_transcript22426/f16p0/2669,4.51321413249974,7.96991472063708,0,0.652878347918872,3.47267544456351,0,2.77053226095817,1.19617729640378,0,0.598088648201892,1.57435496455438,-0.819025032907881,-2.39337999746227,Additive,FALSE,1-year
transcript_HQ_Ss_transcript6011/f4p0/5058,0.794985845178934,0.00501054628550629,6.83456608305872,4.52485323780755,5.89194178307535,13.3089840614059,-2.49402054103219,-8.61906939727101,-0.960453052811366,-4.78976122504119,-1.53356748822083,-3.087923763231,-1.55435627501017,Additive,FALSE,1-year
transcript_HQ_Sd_transcript640/f10p0/4606,1.42820569552817,0.444750706595605,1.49411262852783,1.77499433740064,0,1.74015761983353,-0.311649469411327,5.50700397443797,-0.218572256934429,2.64421585875177,-5.8186534438493,-0.0646425724769552,0.028434639999943,High-Parent Dominance,FALSE,1-year
transcript_HQ_Sd_transcript8008/f2p0/2775,6.52076571211781,10.0763485740299,5.41502091131266,6.2250845550471,8.08722774312088,5.32635484618593,0.0668430284067666,0.31690402881656,0.0237740954434847,0.170339062130022,-0.250061000409794,-0.627079931013407,-0.377018930603614,Low-Parent Dominance,FALSE,1-year
transcript_HQ_Ss_transcript17149/f6p0/3283,1.03327579287314,0.26169213554824,7.47817622340218,9.06954016859576,0.439334138715662,60.605530889865,-3.12149864563476,-0.725815870919735,-3.0170011956987,-1.87140853330922,-2.39568277471503,-2.84349379831868,-2.73899634838262,Additive,FALSE,1-year
transcript_HQ_Ss_transcript19142/f5p0/3057,11.3935262739922,1.15805690095355,17.8295779484198,12.8952373764651,0.486694086204447,24.9389911969086,-0.178476665227328,1.23368108084923,-0.483899997756998,0.374890541546116,-1.41215774607656,-0.645601471047655,-0.951024803577324,Additive,FALSE,1-year
transcript_HQ_Dd_transcript15988/f2p0/3471,1.89601344078864,3.49244329180612,0.679882614508348,1.36804774449808,4.42036790927667,0.615781060990751,0.467932419645458,-0.339064816789996,0.140692907441867,-0.0991859546740646,0.327239512203591,-0.877803399261713,-1.68480063569717,Additive,FALSE,1-year
transcript_HQ_Sd_transcript3450/f2p0/3571,0.155993614873359,0.0579037363017526,0,1.09714184976656,0.309316430436398,0,-2.73764042273392,-2.23342392482578,0,-1.11671196241289,-2.73764042273392,1.28956488388256,1.7937813817907,Additive,FALSE,1-year
transcript_HQ_Ss_transcript6635/f12p0/4935,1.97354539290779,0,0.872908609985837,0.0160030970473654,0,0.767024075886605,6.25325414050499,0,0.184304811151201,0.0921524055756005,6.06894932935379,1.16774539643684,-4.90120393291694,True Over-dominance (High),TRUE,1-year
transcript_HQ_Ss_transcript4978/f2p0/5284,1.19872042428233,2.01090534309515,1.27695409752405,1.96842894782423,1.33912190742998,1.88474371061778,-0.710874664728114,0.582981032178989,-0.558042120723104,0.0124694557279424,-1.2938556969071,-0.741521159726448,0.0623525362806403,Low-Parent Dominance,FALSE,1-year
transcript_HQ_Ss_transcript20877/f8p0/2827,6.85052239119302,0.463385601876637,14.8477562036714,7.64794708316033,0.226550553263459,20.8652466832039,-0.158639257215791,1.00086729171981,-0.490576987384558,0.255145152167627,-1.1595065489356,-1.11482591964226,-1.44676364981102,Additive,FALSE,1-year
transcript_HQ_Ss_transcript14183/f71p0/3652,4.99605205942269,8.71865512762281,4.10678435899324,5.01854991410772,5.9450662361951,11.128828046521,-0.00646913506986153,0.551641832149664,-1.43600766383757,-0.442182915843955,-0.558110967219525,-0.802086092820477,-1.14738311557476,Low-Parent Dominance,FALSE,1-year
transcript_HQ_Sd_transcript17229/f17p0/1143,96.346314849464,109.304265087366,188.71935611123,359.402839461969,98.224246469198,736.086754812397,-1.89919082397077,0.154183709032483,-1.96357656505313,-0.904696428010324,-2.05337453300326,-0.969867722125641,-1.034253463208,Low-Parent Dominance,FALSE,1-year
transcript_HQ_Ss_transcript5400/f7p0/5173,0.130338470635409,0,0.522536260454549,0.3181192407672,0.00523706226123104,1.70315555634767,-1.22530964976395,-0.607584774898155,-1.68570448854964,-1.1466446317239,-0.617724874865796,-1.92396921638021,-2.3843640551659,Additive,FALSE,1-year
transcript_HQ_Dd_transcript30407/f2p0/1871,6.35394392482942,7.64750176876062,2.13272754809846,5.98559789924204,15.6759702528369,2.00676575654498,0.086017492834021,-1.03452906940444,0.0874048928117687,-0.473562088296338,-0.00138739997774771,-0.266952671482652,-1.38749923372112,High-Parent Dominance,FALSE,1-year
transcript_HQ_Ss_transcript10451/f3p0/4270,2.27935615305794,0.0105279520548641,5.12784758114208,2.85552954319303,0,11.3251687285096,-0.323859851195755,1.03758970598204,-1.14156986918642,-0.0519900816021871,-1.3614495571778,-1.16622217292006,-1.98393219091072,Additive,FALSE,1-year
