age,genotype,CBTB_min,CZTB_min,z_CBTB,z_CZTB,PRI_H
1,DD,654,791,0.18895834399506536,-0.5275162148933173,-0.23939656633623363
1,GD,789.5,1267.8333333333333,0.8642248656125963,1.7391529577872056,1.840866112916674
1,GG,496,889.3333333333334,-0.5984373048283287,-0.06008006953102825,-0.4656421009386616
2,DD,455,715,-0.8027614921812347,-0.8887888967326458,-1.1961067507197467
2,GD,903,1013,1.4298540184066166,0.5277803031110366,1.3842565038286585
2,GG,399,735.6666666666666,-1.0818384310047162,-0.7905480797412496,-1.3239771987506908
