gene,genotype,age,group,n_retained_records,mean_expr,sd_expr,median_expr,mean_ct,mean_delta_ct,sd_delta_ct,sem_expr,sem_delta_ct
CCNG1,DD,1-year,DD-1-year,8,1.7015988004079994,0.6403318602907985,1.5597418477108969,26.284291666666665,3.6477708333333343,0.46164856366002593,0.22639150031071026,0.16321741494451694
CCNG1,DD,2-year,DD-2-year,8,2.2705437130174375,0.6746100972664077,2.1722203809205904,26.086458333333333,3.208124999999999,0.3859988871396073,0.23851068721699664,0.13647121531343856
CCNG1,GD,1-year,GD-1-year,8,1.031479767787519,0.24369101926185224,1.0267592724233416,26.976125,4.343083333333334,0.40990166261662525,0.08615778611715864,0.14492212262792803
CCNG1,GD,2-year,GD-2-year,6,1.8779517458578336,0.5833518333076162,1.6528095754232397,26.382333333333335,3.4827222222222223,0.3936985404351176,0.23815238868679472,0.16072675609075482
CCNG1,GG,1-year,GG-1-year,8,2.2099637160451047,0.5308059789985621,2.026229126065034,26.00945833333333,3.2347916666666667,0.3423470316497066,0.18766825362212367,0.12103795379929656
CCNG1,GG,2-year,GG-2-year,7,1.6531061175949535,0.5150684475104792,1.518433085808886,26.21895238095238,3.6778809523809524,0.44903036186099515,0.19467757432697907,0.16971752408593363
CHST11,DD,1-year,DD-1-year,8,0.7762531865283294,0.24749636210133447,0.7466288503365164,27.51425,4.877729166666668,0.4096444735890649,0.08750317798042742,0.14483119257521068
CHST11,DD,2-year,DD-2-year,7,0.82283477255274,0.2967241500409922,0.7415332727839855,27.702285714285715,4.80495238095238,0.449815988244552,0.11215118699935447,0.17001446294797684
CHST11,GD,1-year,GD-1-year,8,1.0282942074278776,0.2323781540688007,1.0944818125417277,27.090958333333333,4.4579166666666685,0.38597175856880783,0.08215808427083063,0.13646162391525046
CHST11,GD,2-year,GD-2-year,6,0.9530884814115259,0.43810131863033186,0.8997166164646526,27.532333333333337,4.632722222222224,0.5799008791419719,0.17885411438079715,0.23674354254820126
CHST11,GG,1-year,GG-1-year,8,0.508546076648308,0.10902596909044888,0.5032446218927282,28.237541666666665,5.462875,0.3124420676460207,0.038546501034645665,0.11046495238022362
CHST11,GG,2-year,GG-2-year,8,0.3860938974362647,0.07706673236428677,0.39350250882118953,28.405041666666666,5.858874999999999,0.3126519027634203,0.02724720452933797,0.11053914029744578
FUT1/2,DD,1-year,DD-1-year,7,0.7482351137448973,0.30760473092077817,0.6096174861303267,26.98561904761905,4.3315952380952405,0.4848112925850529,0.11626366001761707,0.18324144471083179
FUT1/2,DD,2-year,DD-2-year,8,0.7406643986708262,0.13897604640061328,0.7711827086701849,27.168,4.289666666666666,0.2801525661446996,0.049135452416184965,0.09904888964386492
FUT1/2,GD,1-year,GD-1-year,7,1.018631647398993,0.186549206616142,1.0754766411775434,26.44895238095238,3.833309523809524,0.31874539108609057,0.07050897256895955,0.12047443376597425
FUT1/2,GD,2-year,GD-2-year,5,0.9388013435127217,0.27498980124279593,0.8360394105946488,26.93226666666667,3.975066666666668,0.43016971134141574,0.12297917773960956,0.19237774328417356
FUT1/2,GG,1-year,GG-1-year,8,0.5407307738440117,0.08325327156131755,0.5343172232741423,27.509625,4.734958333333334,0.218529532892082,0.029434476438486394,0.07726185729875992
FUT1/2,GG,2-year,GG-2-year,7,0.44124908367185534,0.13718483551598565,0.460884192081216,27.615666666666666,5.081214285714286,0.49542227325381655,0.05185099406065703,0.18725201842741213
GALNT,DD,1-year,DD-1-year,8,0.8121591642668459,0.3055198975304297,0.7593519658400347,27.696291666666664,5.059770833333333,0.5826573630175559,0.10801759566559298,0.20600048624899284
GALNT,DD,2-year,DD-2-year,7,0.6153857908987002,0.15944839875922023,0.5945520412607345,28.285333333333334,5.401738095238095,0.3597431035184666,0.06026583000919379,0.1359701125400611
GALNT,GD,1-year,GD-1-year,8,1.02536770728719,0.23374248331403263,0.9795698722655748,27.29508333333333,4.662041666666667,0.3561066782157296,0.08264044750136795,0.1259027234960791
GALNT,GD,2-year,GD-2-year,6,0.773691054969733,0.18438838126620558,0.7497784623713796,27.966611111111106,5.066999999999999,0.3485341207591214,0.07527624143332742,0.1422884589682369
GALNT,GG,1-year,GG-1-year,7,0.5065041867372572,0.11149764593748808,0.5051819506665101,28.47590476190476,5.675261904761904,0.33351701685086393,0.04214214898853209,0.12605758351364635
GALNT,GG,2-year,GG-2-year,8,0.36322837714465106,0.06782516439857068,0.36027062648604274,28.69125,6.145083333333334,0.2697911302623828,0.023979816840660865,0.09538556885625701
GSN,DD,1-year,DD-1-year,8,1.9159280045226494,0.6494922074833932,1.873316571679616,24.549125,1.912604166666667,0.45869323477783414,0.22963017211966372,0.1621725483978998
GSN,DD,2-year,DD-2-year,8,2.0229716965503948,0.8014229498423328,1.6836896497848428,24.72475,1.8464166666666668,0.47909692660187736,0.2833458012160199,0.16938634282291054
GSN,GD,1-year,GD-1-year,8,1.0218878472665167,0.22466440866108847,1.0888085045221558,25.417791666666666,2.78475,0.32338032304599723,0.07943086342776068,0.1143322096640605
GSN,GD,2-year,GD-2-year,6,1.7833531036158579,0.8854577845492566,1.4190000452120282,24.963055555555552,2.063444444444445,0.5850704579285664,0.3614866268201536,0.23885401425024674
GSN,GG,1-year,GG-1-year,8,2.0633240448981027,0.4117802783019927,1.9225834291742694,24.538125,1.763458333333332,0.27525788413372976,0.1455863135731114,0.09731835822301065
GSN,GG,2-year,GG-2-year,8,2.1041859577986615,0.7282133559793146,2.1004705506271435,24.33020833333333,1.7840416666666647,0.48774515813661756,0.2574623010817933,0.17244395440465363
NOTCH1,DD,1-year,DD-1-year,8,1.8913810627963108,0.5335180568092014,1.687185770360292,26.427125,3.7906041666666686,0.36267048467768687,0.18862711792762799,0.12822337952590213
NOTCH1,DD,2-year,DD-2-year,7,2.390472599252505,0.6583243355574474,2.324426810074922,26.340714285714284,3.453809523809524,0.3808057907445076,0.24882321055812026,0.14393106001760986
NOTCH1,GD,1-year,GD-1-year,8,1.0289310536451866,0.24928226623550728,1.0083859910752813,27.300083333333333,4.667041666666668,0.3815693133272318,0.08813459044233876,0.13490512447319003
NOTCH1,GD,2-year,GD-2-year,6,1.4470796050972392,0.7239147651613153,1.159828911176617,27.141277777777777,4.241666666666668,0.5591356722656876,0.29553696531865586,0.22826618233982976
NOTCH1,GG,1-year,GG-1-year,8,3.073183132530062,0.6331683600819819,2.778144413031767,25.8475,3.0728333333333344,0.28673172019342263,0.22385882052336753,0.10137497186502643
NOTCH1,GG,2-year,GG-2-year,8,2.254167062541613,0.6718361435028122,2.1837437335377183,26.103875000000002,3.5577083333333337,0.47335969703575065,0.23752994645852846,0.16735792585719447
ODC1,DD,1-year,DD-1-year,8,0.6089519562949118,0.15218709471805805,0.5845425972400391,27.385833333333334,4.749312500000001,0.3514552675085748,0.053806263342109126,0.12425820146952266
