gene_base,age,DD,GD,GG,delta_delta_DUI,hybrid_deviation_direction
PB.1012_0,1-year,0.06446154781517013,-0.005327865945836795,0,-0.037558639853421866,Negative hybrid deviation
PB.1012_0,2-year,0.11825875225751059,0.005932905834527333,-0.0014168348520987332,-0.0524880528681786,Negative hybrid deviation
PB.1016_0,1-year,0.4996049766445667,-0.0489177241523277,0.03503234141417296,-0.31623638318169756,Negative hybrid deviation
PB.1016_0,2-year,-0.006427883050758976,0.07257502339040142,0.016742745398153805,0.06741759221670401,Positive hybrid deviation
PB.1020_0,1-year,0.4611072260485344,-0.12327829718261538,0.074852177533677,-0.39125799897372104,Negative hybrid deviation
PB.1020_0,2-year,-0.028467891502378717,0.0633015936080476,-0.00013254402276480053,0.07760181137061936,Positive hybrid deviation
PB.1023_1,1-year,-0.0689174466076688,-0.11340851816338537,-0.023481649306959507,-0.06720897020607122,Negative hybrid deviation
PB.1023_1,2-year,0.014028698240624027,-0.0384633081204061,0.0043803182045714095,-0.04766781634300382,Negative hybrid deviation
PB.1027_0,1-year,-0.032486644097838344,0.213984502985762,0.09491381521055742,0.18277091742940246,Positive hybrid deviation
PB.1027_0,2-year,0.052827639907152765,0.0053579213123400304,0.138519674876662,-0.09031573607956736,Negative hybrid deviation
PB.1029_0,1-year,-0.029372519492743887,0.06461850359241328,0.048128430544296996,0.055240548066636724,Positive hybrid deviation
PB.1029_0,2-year,0.017914610270742704,0.07855464562746706,0.03791046306524598,0.050642108959472715,Positive hybrid deviation
PB.102_0,1-year,0.41666212482859766,-0.1012485108348345,0.06439800725203365,-0.3417785768751501,Negative hybrid deviation
PB.102_0,2-year,-0.06787155664245059,0.07024562417684005,0.017480939854947516,0.09544093257059158,Positive hybrid deviation
PB.1035_0,1-year,0.3496913593384497,-0.1624136354594029,-0.010457306399771604,-0.332030661928742,Negative hybrid deviation
PB.1035_0,2-year,0.10083335331006804,-0.008062809863453979,0.025275520440853017,-0.07111724673891451,Negative hybrid deviation
PB.1036_0,1-year,0.2619574687993317,0.007929243033592992,-0.048802929852976656,-0.09864802643958452,Negative hybrid deviation
PB.1036_0,2-year,0.04382573742244866,0.07757440507032701,-0.06028696140029369,0.08580501705924952,Positive hybrid deviation
