sample_id,age,genotype,condition,group,antiquewhite4,bisque4,black,blue,blue2,brown,brown2,brown4,coral1,coral2,cyan,darkgreen,darkgrey,darkmagenta,darkolivegreen,darkolivegreen4,darkorange,darkorange2,darkred,darkseagreen4,darkslateblue,darkturquoise,darkviolet,firebrick4,floralwhite,green,greenyellow,grey,grey60,honeydew1,indianred4,ivory,lavenderblush3,lightcoral,lightcyan,lightcyan1,lightgreen,lightpink4,lightsteelblue,lightsteelblue1,lightyellow,magenta,maroon,mediumorchid,mediumpurple2,mediumpurple3,midnightblue,navajowhite2,orange,orangered3,orangered4,paleturquoise,palevioletred2,palevioletred3,pink,plum,plum1,plum2,plum3,purple,red,royalblue,saddlebrown,salmon,salmon2,salmon4,sienna3,skyblue,skyblue1,skyblue2,skyblue3,steelblue,tan,thistle,thistle1,thistle2,thistle3,turquoise,violet,white,yellow,yellow4,yellowgreen
dd_1,1-year,DD,Infected,1-year_DD_Infected,-0.124876601586255,0.237926489738436,0.0150582536915318,-0.427317715857809,-0.0704444632408639,0.312492483273961,-0.0535529435170168,-0.0868086876591162,-0.123405281954263,-0.0427134501274339,0.131292660974211,0.135897706269351,-0.110652779872279,0.196545673524487,0.0668922038802756,0.273926057438491,-0.264573765614646,-0.105385661153093,-0.0988690391371206,-0.0041354354513505,0.0367498999717799,-0.283393027604928,0.140783909322776,0.0217043972429191,-0.239998859489863,0.115332983343218,0.129957353711387,-0.0571723871522167,-0.0696563529230763,0.162145259845385,0.0412895985439708,-0.249009585031244,0.0364609727749625,-0.267573468213818,-0.320576919537909,-0.0998749017749073,0.163739815591006,-0.210209147027423,-0.0562823844087722,0.150083543313635,-0.187790455911204,-0.261526341690215,-0.130484125891765,0.0428949569408559,0.0697300017259269,0.361637923937464,0.187320843227422,0.0322170860704679,0.0408202098899338,0.0330283781252006,0.15392751382342,0.134458681351432,0.0547855492864825,-0.288595512488325,0.391822915856304,0.0690761112590142,-0.14830925828753,0.0348994496113932,-0.178739918835368,0.0525074902340175,-0.401105212597896,0.00223001664584817,0.0734113622202593,0.213873517926271,-0.266485931095111,0.260854644181437,-0.0183098632195078,-0.386953784930723,0.166344819290255,0.027737387258196,-0.0585661408243952,0.343374561298261,-0.285280142761339,-0.0602946774975878,0.00629135137467974,-0.037917003168858,-0.170376373743785,-0.239395398234563,-0.154540386112415,-0.0987623534608316,0.117819101576695,0.056596374043424,-0.102533856200279
DD_1,2-year,DD,Infected,2-year_DD_Infected,0.218135716976259,0.131465889481762,0.252653535228185,0.235277184581887,-0.0115217479132024,-0.206385724551574,0.257138193212929,-0.0517501658080066,0.0018993599479822,0.149677942222505,0.109963930576481,-0.00187918438466474,0.0134929252200597,0.00304230071798946,-0.0706137713871838,-0.385143110568737,-0.0863546122433217,-0.0148838253427392,-0.217542811696976,0.0569416364199449,0.0227129547501295,0.354984795314862,0.00468745897163603,0.145855003942151,-0.018486705067388,-0.0195705975895301,0.0687134016152048,0.0419061987782191,0.340508800309079,0.0171569060629743,0.123777768718197,0.336090644558621,0.0700015889634615,-0.104629483202573,0.291307700699897,0.0213775774183463,-0.0943909410164611,-0.0884376792623756,0.0841777169424665,-0.0694352455851246,-0.074014703349583,0.236240326901524,0.15145942027331,0.0486228427283043,-0.0971213379454108,0.0162292975935813,0.197726015695954,0.141984167002425,0.119696380961675,0.230621679443464,-0.156879935721173,-0.133408105067546,-0.0495503642763929,-0.237262840966967,-0.0320618379407621,0.0145399589408858,0.235743063170906,-0.0017129407565449,-0.240518291045374,0.227485829715448,0.226828368382905,-0.092865353401045,-0.0262466457014754,0.15545513208664,0.134526048855591,-0.151046943256677,-0.230637001475337,0.191916126173435,-0.0873867634447205,-0.0567656648580797,0.0768143392677196,0.1264452082667,0.0898354918795654,0.00634327381913827,0.00762124912169717,-0.0313800028419083,0.179294220002471,-0.135703062820429,0.266952066227501,-0.0700237246177309,0.0773569641217334,0.173743913468863,0.143615240016545
dd_2,1-year,DD,Infected,1-year_DD_Infected,-0.123207707999312,-0.0841886351185955,-0.0794050274478666,-0.368069621163761,-0.0934944056155404,0.359403886807289,-0.00923227693049674,-0.0386415147970491,-0.0986686933739972,-0.314613845935863,0.106186536647679,0.139769439791948,-0.153545352887905,0.165928295459441,-0.0015002719413825,0.210116330326467,-0.056942784084797,-0.109060049064133,0.118066979157907,0.0106123242821033,0.0114239439997092,-0.179479821916356,0.125156033498925,0.108961405847275,-0.0857442365752839,0.0657014498353749,0.148490407520661,-0.0442471613225141,-0.121458554785487,0.105427076405089,-0.0947081014245875,-0.201661628369255,0.0724000134478821,0.0246890361349451,-0.308105024038742,-0.10747015552378,0.347985721464991,-0.268749245088904,-0.0716390790502474,0.120620083379259,-0.0586319208259714,-0.233072698889855,-0.171938734992699,0.0576799496070078,0.0258771555233713,0.114710563979867,0.123839743767806,-0.0670249857071235,0.0242829119042116,-0.383661349830349,0.117045175381747,0.0875648200577033,-0.047426250859571,-0.206118117257226,0.302348766305199,0.0208044373913972,-0.21561113663554,0.0134209587532342,-0.174922092782679,-0.065385937688119,-0.346203762306907,-0.0255780970535529,0.0337861613057104,0.19692222916774,-0.280256338644365,0.254406324862708,0.118102029682245,-0.211215651799342,0.160021450178504,0.0520014549149552,-0.0714551342273211,0.246462210422407,-0.265916793164899,-0.0149384317284941,0.0633405643181344,0.00386776679328336,-0.147610059856157,0.0871281259198487,-0.0996219304212419,-0.123107067280962,-0.0607021822071027,-0.464596492868549,-0.153139413995185
DD_2,2-year,DD,Infected,2-year_DD_Infected,0.200832833088888,0.00405280820324941,-0.207856014832365,0.212058864978622,0.0339029483122722,-0.269802709342673,-0.279790493792467,-0.0495869886630133,-0.0242586246554838,-0.0102767181297103,0.0852561868847358,0.038002146287994,0.0429718591853535,-0.0916556626618751,-0.11150567039149,0.187641427050332,-0.00103137701424984,0.0973658695787521,0.440216461366054,0.0539616400759413,0.0272628289768855,-0.035870776236742,0.142425653584828,-0.0015323223374955,0.202895299355656,-0.135013080416082,0.0707824112404039,0.0239368811265912,0.0961742221762991,0.059864865747211,0.139682577091258,-0.0898536522799463,0.0819827940762449,0.00529190818070472,0.288072597810931,-0.0122264084855345,0.102805148681774,-0.076280438844402,0.0178851123089411,0.0728182550039458,0.358476413458249,0.20071399930827,0.152419832723948,0.231257739504448,-0.0807415740793018,-0.188379281770226,-0.0547121640380297,0.0416887320260331,0.13464441305332,0.134322960210994,0.160027235873133,-0.173745331747556,0.0607187591539058,0.353725984709021,0.119748440777464,0.104373737168449,-0.025367483545232,0.0258771913083701,0.589141699692519,0.0923054978010129,0.0949004028485293,-0.0805095870199466,-0.0111166767550411,0.308200453313536,0.0777444038171891,-0.127129975677915,-0.0766331231229788,-0.20568598365228,0.021880663752448,0.0667928163588322,0.0268386178613211,-0.390995565365482,0.0441770871676088,0.228407577988303,0.0577005999059203,0.0428934615021673,-0.353906574240166,0.0904380140766367,0.303993692039988,-0.078771530097937,-0.0781488436903347,0.0761209347628464,0.0931079469747792
dd_3,1-year,DD,Infected,1-year_DD_Infected,-0.193856489352058,0.364545707900357,0.00494547764971282,-0.443730745198047,-0.0617368005899165,0.0165099154082488,-0.101870613775982,-0.0773145942847397,-0.128245001612951,0.158905816307666,0.127697577982018,0.0984271222749709,-0.177623475247603,0.17149398017734,0.115878524657567,0.241289859987144,-0.433011948358056,-0.148515186626258,0.0384274231622438,-0.105290524404416,0.058104263168929,-0.238235053123634,0.131534616204795,-0.588712629886711,-0.230395845628799,0.110670590131634,0.144717067929364,-0.0552117362889536,-0.0723905784658878,0.200138327954763,0.0395744419944719,-0.286005322786852,0.0517393301652682,-0.122146398481953,-0.29282816904026,-0.0848800376880828,-0.440712029039121,-0.224716119449112,-0.0810852765987082,0.104549944257604,-0.308192585379933,-0.229814992207656,-0.15807337224649,0.0150702889927849,-0.0111696246979501,0.461232519998253,0.223429674393519,0.0883189129208638,0.0198270473222929,0.228511297403665,0.114439140915825,0.148203490218349,0.0896789096264815,-0.324190758424783,0.460836742233761,0.0877552870894621,-0.220843132971309,0.0436883828585938,-0.144806711158485,0.108088751038636,-0.386578072011208,0.0221676590281038,0.0879574615427435,0.188211487342395,-0.203509498647019,0.172563969893105,-0.0336467632641986,-0.279809678614154,0.104963823438,0.0171584775919135,-0.0815414069306375,0.438419324114378,-0.252378428023933,-0.28058782057217,0.0292589489879804,-0.0318077855107429,-0.185921679012528,0.0110385989972724,-0.192481949400421,-0.102986030147888,0.189689807757489,0.33396495600543,-0.0791781472435674
DD_3,2-year,DD,Infected,2-year_DD_Infected,0.20745291742122,0.0789389703482633,0.294614687831716,0.250612937988663,-0.0968879451027352,-0.0478327408845627,0.320343373806875,-0.0138696661115171,0.0127305415249382,-0.00976833131583819,0.100212834586488,-0.00837766053100618,-0.0185808790480584,-0.022877424546207,-0.0729456486602394,-0.172568866904732,0.0949044112197022,-0.036545606032189,-0.201286997616498,0.151456013966228,0.047722133414885,0.192247909738951,-0.154925428439568,-0.0125398139120309,0.124074916856178,-0.0848886420881531,0.0842168913747059,-0.00764434147229958,0.440288407918709,0.0156121094484608,0.103196593205593,0.32343904566861,0.0786474117851849,-0.153755300389011,0.204490519573828,0.0373488708249606,0.162212794020618,-0.195463853756597,0.159627470678088,-0.248832356470138,0.124353564080486,0.203736825110108,0.120504359093494,0.0472700165969268,-0.0344932756791641,-0.109111488316417,0.248060750064468,-0.0274267308360975,0.0976696653863537,0.187261711181179,0.130098889859286,-0.127658274998712,0.00679549460912685,-0.176595092940251,-0.191358246631341,0.0906124213232454,0.133850793356142,0.057031431747339,0.329611958362636,-0.250458907195862,0.106687759433336,-0.095984278605237,-0.0180876449226316,0.229365555658715,0.139000560258094,-0.254047013690755,-0.085407900781328,0.169452701542834,-0.0116396770474604,-0.0149122301788973,0.179934528589524,0.0139144398969556,0.0708725608846978,0.308593085387694,0.0639068073326381,0.0187047472103376,0.301302368718227,-0.415082302863546,0.0465334173467521,-0.0680575091023775,-0.222100845814389,0.0880130542563633,0.0978591029061528
dd_c_1,1-year,DD,Control,1-year_DD_Control,0.173199531342668,-0.231274737799586,-0.325483019404525,-0.0469380452119826,0.00766879958920809,-0.36546199467965,-0.366450707807475,0.0530645166222183,0.0416207201042717,-0.131803418468572,-0.0813555734475014,-0.0486545335623399,0.0818755193873609,-0.0405703184351513,0.11017719347981,0.00951914589509554,0.0476665548714535,-0.00091926632038124,-0.231826299603397,-0.0986960263511492,-0.0822481614497507,-0.276627906060125,-0.0134679874591335,0.120904730593785,-0.0732963952535399,0.123369515154473,-0.08629247603933,0.0262384952675511,-0.427458971902142,-0.0780413957962209,-0.0762766640056059,0.341683665061962,-0.0610289883122702,0.294633603836884,0.0234087390269441,0.00750996239029911,-0.382729731493324,0.195797874451517,-0.0967728356858351,0.0535305414936566,-0.151786305852138,0.0831437598178717,-0.0787784559233292,-0.137486602719678,0.138794374074742,0.177669317800098,-0.503626320719095,-0.0294940032176141,-0.0874878754208449,0.0169343171952101,-0.504988599011033,-0.040036789613011,-0.185058959551907,-0.0959748650174661,-0.261542697519971,-0.0341894557672139,0.273252708917902,0.00829169728787548,-0.0466230862076019,0.183918497611464,0.245660649275404,0.0874305784639633,0.0223691844200786,-0.195012114142242,-0.0852456836253205,-0.363207333220929,0.265624887600365,0.310252273124751,-0.10802068639579,0.0685349630357205,-0.109292895339779,-0.187972530609033,0.0748154409300174,0.35246223222957,-0.094804911142943,-0.00399018539122382,0.286438042305099,0.39467112150509,-0.188871677190769,0.129059038291194,0.11703990119,-0.0532286698513088,-0.0895934102066412
DD_C_1,2-year,DD,Control,2-year_DD_Control,-0.427512817746885,-0.310348348108206,0.0148015202295534,0.148169656729751,0.0276857581016003,-0.282551508560083,-0.310740715516754,0.126044168530826,0.0613394111918571,0.223989030174569,-0.163587084586396,-0.158508129270228,0.0785982891571002,-0.145564110251519,-0.052673025880143,0.247994988250305,0.269254294269537,0.0848555329752154,0.463203853069117,0.0243229572877633,0.0347640316258213,-0.306572255030199,-0.0496172583478613,-0.284598723570542,0.340844701951276,-0.237121022134092,-0.107089905857853,0.022685111421764,-0.361946262112824,-0.216171951116414,0.229800197251218,-0.198902841245656,-0.0568591353497623,0.274937564592951,0.242161844840343,0.0908652413800361,0.261065945252045,0.177364680865682,0.136174523893376,-0.0659784379863542,0.380481593429725,-0.137191365821888,0.147210493340745,-0.0509623926087286,-0.0795807934101374,-0.344319288410307,0.145863626640645,-0.163527260371604,-0.0493515060401327,-0.183806993033616,0.188022356058058,-0.0525774436026556,0.170002369372296,0.320504487769961,-0.0890799191154433,-0.122317179885202,-0.262101757972333,-0.0484413836666849,-0.221989687370871,-0.38879947447177,-0.227963567736215,-0.0113171443283109,-0.0767951126358497,-0.284182021695644,-0.0397573372265007,0.276455692396938,0.0752493464197482,0.252525929303634,0.0405598534684462,-0.0543649395870063,0.186529282576881,-0.241206473236426,0.123789185695512,-0.393318042083182,0.147928439417426,0.051438677701444,-0.390969715696942,0.0303030005129209,0.484064021731378,0.045289368394411,-0.434263024046264,0.13554528496034,0.126780274345409
dd_c_2,1-year,DD,Control,1-year_DD_Control,-0.203948368164789,-0.209728775954604,-0.188105018677579,0.110811058438668,0.0909503593173996,0.29655775023755,0.260958170225396,-0.0063091251586286,0.0827779440720784,-0.207597077160513,-0.0789354073033217,-0.0120589022634196,0.0240580587822309,-0.00520171131718392,0.0680615382648916,-0.203292343017028,0.137024498017675,-0.0332507870093877,-0.196432130207028,-0.109086906377603,-0.0543247308470616,0.274991556533739,-0.144807919984629,0.160820499652843,-0.0985626365028849,0.0696567885292926,-0.0907677641863656,0.0204547107451298,-0.0414134510701511,-0.065460083143692,-0.230128908376131,0.190537024151354,-0.079414956434281,0.126497675480891,-0.221412035842668,-0.028398657228971,-0.0599430562871756,0.148425740576434,-0.0495487437547489,-0.0227138423518801,-0.109143101228031,0.0110664363468979,-0.137779360047587,-0.112434619099152,0.125097781166247,-0.154000691294997,-0.38492417649865,0.00128194077580062,-0.108132043768039,-0.200802800649011,-0.18549875293754,0.0218193286580192,-0.135849780889664,0.28798383388589,-0.293217005411804,-0.0639566323203541,0.00995256438202681,-0.0390412161241262,-0.129620186356988,-0.136466747243445,0.300315755396989,0.057663718282972,-0.0144121711353294,-0.232528758184502,0.0890732817094726,0.0369246805393277,0.205108709233571,0.118772334658092,-0.0927081559200187,0.0368278177141081,-0.120825378716167,-0.243534450392615,0.0211279568725341,0.0469023872068609,-0.155558177361072,-0.0191436022746509,0.195321197340049,0.268519532096907,-0.125274564372944,0.161658337606102,0.0830824638772627,-0.270111299196588,-0.0818183627847802
DD_C_2,2-year,DD,Control,2-year_DD_Control,0.10276988118435,-0.0794872173458305,-0.105517674495345,0.111684607059614,0.0707096542012632,0.139897563643268,-0.298630382660196,0.0566623760319326,0.0404560501858044,0.00559154840736155,-0.146616515983582,-0.115238604417553,0.081439455390685,-0.138196459187104,-0.119104479317266,0.214908919292052,0.131226696144436,0.205483259365754,0.391829206441569,0.0866842742147217,-0.0287979877567991,-0.241879515971197,-0.15758572556325,-0.208582597323358,0.333317861545383,-0.165044710646029,-0.138197276854061,0.0366490999331715,-0.158521803748551,-0.127166035914081,0.00860892084394473,-0.172287144023658,-0.0506705976093178,0.0350007834859112,0.100444183593988,0.0838534221828889,0.233112193330118,0.161943125311676,0.0893626358673472,0.0379875531153378,0.424993509849593,0.0226583591539957,0.102586403406624,-0.00610254352637984,-0.0377799393943654,-0.301471672588795,0.0895777116942161,-0.044623271475245,-0.0392979197808269,-0.141969165391167,0.17014201443568,0.057654085712235,0.159987746016079,0.23053553992088,0.0281913231044906,-0.0669909266421855,-0.254012509717072,-0.00121165323029782,0.416477583498866,-0.259695287636773,-0.0831646894033125,0.000557297173812589,-0.0296011860945995,-0.161810425931554,0.0536703405017755,0.0338935157287392,-0.007755582744033,-0.104221864121669,0.0222032030324933,-0.0604150952752072,0.0734307242971315,-0.151596102114147,0.14112983753061,-0.0665209250281454,0.00672145645925625,0.0284935602852307,-0.20696633194709,0.101434371496929,-0.0689366954801461,0.0028114142837238,-0.340859545776823,-0.13439925285467,-0.0153476211289511
