gene_id,label,dd_1,DD_1,dd_2,DD_2,dd_3,DD_3,dd_c_1,DD_C_1,dd_c_2,DD_C_2,dd_c_3,DD_C_3,sd_1,SD_1,sd_2,SD_2,sd_3,SD_3,sd_c_1,SD_C_1,sd_c_2,SD_C_2,sd_c_3,SD_C_3,ss_1,SS_1,ss_2,SS_2,ss_3,SS_3,ss_c_1,SS_C_1,ss_c_2,SS_C_2,ss_c_3,SS_C_3
transcript_HQ_Ss_transcript11971/f8p0/4020,Unk_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6804889630085927,0,0,0,0,1.7416047231297,1.2524325495129167,2.504087536051664,2.2340177692120933,1.1722010323887293,0,0,1.0128272124745978,0,1.181581602489558,0,1.5890963577009554,0,2.624985537914859,0,0,0,0.19229001146853666
transcript_HQ_Ss_transcript2964/f2p0/5920,Unk_2,0,0,0,0,0,0,0,0,0,0,0,0,0.5862876189109775,1.0782280024845712,0.5162136536703934,0.1331684359205468,0.5463941070589751,0.31835044889100966,1.332357811873289,1.3545749428840563,1.356313971772015,0.9869507221484335,0.8710251862246662,0.7939398369247449,1.189736282508,1.7405553861803789,1.0010198405323192,2.060266241563135,1.8009063757500334,1.6008304375541946,1.9660524381489668,2.427062835381376,1.7770589635240632,0.8334128967555764,1.8560342977721673,1.15557889689386
transcript_HQ_Sd_transcript16032/f5p0/1473,Unk_3,0.5811199065886169,2.1248355462374873,1.7988106423263397,0.5205255167694134,0.1344912505988108,1.3381018699353366,1.4208886769363647,1.056600534566349,0,2.160510989495824,2.249437343679423,1.141026366911606,2.3947050786702655,3.35225539291238,1.9889764598130755,0,0,0,4.805127143271159,4.381738797754823,4.796451590574123,4.144525332324058,4.421392535225314,1.0195766395209562,3.0436585159033305,2.5512114279523934,1.4943549343093343,4.724060101577794,2.3317718371705487,5.0980124375688165,0,3.7814381901217446,3.2586794146524647,0,2.8852120138414534,4.521340394717188
transcript_HQ_Sd_transcript2472/f3p0/3883,PRKCD,0,0.019005108542690694,0.02260491484022551,0,0,0,0,0,0,0,0,0.042311548208424796,0.1171229681097638,0.12951330210571968,0,0.03446211540081972,0.03694603618066079,0.03406628153317746,1.5181538915482915,0.23240256311798316,1.409429250568918,0.8720814719826652,1.2961568470694185,1.2574518487996171,0.5475630340779383,0.5254722999005433,0.6233479339827506,1.087973778903208,0.6118553083930027,2.053500521235269,0.8928129595067756,1.8805768273431915,1.2483477413083521,0.5506166251208875,0.8145871612934777,1.5046941136359424
transcript_HQ_Sd_transcript16915/f4p0/1244,Unk_4,0,0,0,0.23852258510429306,0,0,0,0,0,0.10100825444598537,0,0,0.1489115442923827,1.5253132022837808,0.6919096493246614,0,0,0,3.090836498556711,2.644234009424631,2.4607089709673824,0.6551908330739362,2.6407630375839006,0,2.592416706660025,1.457591524774931,2.520258441840558,3.689959259306501,2.0087103201713585,4.208980340873287,0,2.023396317304795,1.2829216071807892,0,0,2.889083094798913
transcript_HQ_Ss_transcript19865/f2p0/2966,NOTCH1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6564683397151572,0.13956672557425992,0,0,0,1.9020231888059818,0.20283113964449784,2.8272458916322036,0.6551908330739362,2.4948754030220672,1.580989874315129,1.394304555763034,1.946113109966444,1.7498027474829334,0.9930419995748404,0,2.6709704271112553,2.4709435668526556,2.1022118072673153,2.5932581850430267,0.5138239414917034,2.1003421644511824,2.6962724094805153
transcript_HQ_Sd_transcript11188/f4p0/2297,Unk_5,0.03315933368935744,0.019005108542690694,0,0,0,0.14661994219390184,0.12301774646525834,0,0,0,0,0,0.426876699392016,0.9956909855750055,0.6972359012612477,0,0.08183655074261065,0.03406628153317746,1.4941836178039956,1.699743315225437,2.028779947645005,1.0825076415026818,1.4816682507252334,0,0.8428278777170439,0.5961831543557168,0.22595554776991025,1.3959560786396248,0,2.3652313325159025,0,1.249626289144163,0.859087775101423,0,0.5270792818293938,2.053984225906533
transcript_HQ_Ss_transcript6148/f2p0/5022,Unk_6,0,0.019005108542690694,0,0,0,0,0,0,0,0.07286309945122299,0,0,0,0.4185280035653484,0.01713788109496567,0,0,0,0.30565554525931643,0.21275578181604451,0.5420978121604152,0.3004475947570258,0.5037057453623422,0.20632960106899784,0,1.457591524774931,0.320806919202316,0.33756911052355887,0,0.11083484532124817,0.49102871092759665,2.532468281555488,0.20320627189752025,0,0,0.8794028181793253
transcript_HQ_Sd_transcript5403/f3p0/3199,UBQLN,0,0,0,0,0.07397201464199216,0,0.029333951352386135,0,0,0,0,0,0.6653456816959126,1.1663947065520617,0.6540649185237368,0.2840096335730955,1.0037217251718713,0.8387501334439896,2.5238295277993936,1.4330809133089781,2.3563685064823416,2.282171805493253,1.055421062056642,1.4207591890854723,0.8920431873617892,1.9647344296825764,1.60654480263445,2.01011106681183,1.9163326321334109,2.3037409942561085,2.9205402757143735,3.0382776368083753,2.3128449222391447,1.4546098983745346,2.675677889336483,2.882899544817867
transcript_HQ_Sd_transcript18570/f3p0/555,Unk_7,0,0,0,6.603875094504424,0,0,0,0.6269197130267192,0,0.9658073203829162,0,0,0.32620314794366956,7.043895357914928,0.17817157465907724,0.4378299222024493,0,8.48637863026311,6.953655332385358,8.455133538667681,8.679167372914641,8.131735351587434,8.268769494973657,0.394499790683136,0,9.329955528836054,0.7739941648681812,8.55060693764475,0.35459123191951597,10.148559506091729,0.23382494668029596,8.999954291831095,0.7082549031544945,0.7152296984799922,0.2087047950337531,0.3970749641976574
