"Supplementary Fig. 1B: GO enrichment of OD genes, 2-year",,,,,,,,
,,,,,,,,
GO_ID,Description,Category,target_count,bg_count,fold_enrichment,gene_ratio,pvalue,padj
GO:0005201,extracellular matrix structural constituent,molecular_function,16,51,4.09228068909967,0.0098099325567136,7.19209814350416e-07,0.0002193589933768
GO:0000213,tRNA-intron endonuclease activity,molecular_function,4,4,13.0441446965052,0.0024524831391784,3.44239943842819e-05,0.0052496591436029
GO:0006388,"tRNA splicing, via endonucleolytic cleavage and ligation",biological_process,4,6,8.69609646433681,0.0024524831391784,0.0004551793154506,0.0372344136487463
GO:0003684,damaged DNA binding,molecular_function,7,20,4.56545064377682,0.0042918454935622,0.0004883201789999,0.0372344136487463
GO:0008173,RNA methyltransferase activity,molecular_function,5,11,5.92915668022964,0.003065603923973,0.0008211818150039,0.0434601098554677
GO:0015098,molybdate ion transmembrane transporter activity,molecular_function,4,7,7.45379696943155,0.0024524831391784,0.0009974451442238,0.0434601098554677
GO:0015689,molybdate ion transport,biological_process,4,7,7.45379696943155,0.0024524831391784,0.0009974451442238,0.0434601098554677
GO:0004518,nuclease activity,molecular_function,6,18,4.3480482321684,0.0036787247087676,0.0016691145360287,0.0510598789860293
GO:0008514,organic anion transmembrane transporter activity,molecular_function,3,4,9.78310852237891,0.0018393623543838,0.0016959103474182,0.0510598789860293
GO:0015711,organic anion transport,biological_process,3,4,9.78310852237891,0.0018393623543838,0.0016959103474182,0.0510598789860293
GO:0004175,endopeptidase activity,molecular_function,5,13,5.01697872942508,0.003065603923973,0.0020089132715814,0.0510598789860293
GO:0019773,"proteasome core complex, alpha-subunit complex",cellular_component,5,13,5.01697872942508,0.003065603923973,0.0020089132715814,0.0510598789860293
GO:0004814,arginine-tRNA ligase activity,molecular_function,3,5,7.82648681790313,0.0018393623543838,0.0039973942761931,0.0776603246321566
GO:0006420,arginyl-tRNA aminoacylation,biological_process,3,5,7.82648681790313,0.0018393623543838,0.0039973942761931,0.0776603246321566
GO:0016607,nuclear speck,cellular_component,6,21,3.72689848471577,0.0036787247087676,0.0039985879367732,0.0776603246321566
GO:0004560,alpha-L-fucosidase activity,molecular_function,10,50,2.60882893930104,0.006131207847946,0.0041278673725115,0.0776603246321566
GO:0006396,RNA processing,biological_process,13,75,2.26098508072757,0.0079705702023298,0.0043286082581857,0.0776603246321566
GO:0045944,positive regulation of transcription from RNA polymerase II promoter,biological_process,6,22,3.55749400813779,0.0036787247087676,0.0051464240936934,0.0872032971431388
GO:0006351,"transcription, DNA-dependent",biological_process,24,181,1.72961034649793,0.0147148988350705,0.0059873422048034,0.0961125985507927
GO:0003899,DNA-directed RNA polymerase activity,molecular_function,18,124,1.89350487529914,0.0110361741263029,0.0064222865891767,0.0979398704849447
GO:0008942,nitrite reductase [NAD(P)H] activity,molecular_function,4,13,4.01358298354006,0.0024524831391784,0.014033899023716,0.203825676296827
GO:0003713,transcription coactivator activity,molecular_function,7,37,2.46781115879828,0.0042918454935622,0.020669855571157,0.274509248260924
GO:0007219,Notch signaling pathway,biological_process,6,29,2.69878855789763,0.0036787247087676,0.0207006974098402,0.274509248260924
GO:0003735,structural constituent of ribosome,molecular_function,20,161,1.6203906455286,0.0122624156958921,0.0219967230688066,0.279541688999417
GO:0006364,rRNA processing,biological_process,13,92,1.84319435928878,0.0079705702023298,0.0229900282332762,0.28047834444597
GO:0016772,"transferase activity, transferring phosphorus-containing groups",molecular_function,6,31,2.52467316706552,0.0036787247087676,0.0281738257266936,0.31933866754062
GO:0016987,sigma factor activity,molecular_function,8,48,2.1740241160842,0.0049049662783568,0.0282693246675303,0.31933866754062
GO:0005840,ribosome,cellular_component,19,156,1.58870993098461,0.0116492949110975,0.0300701261065069,0.327549587945879
GO:0003678,DNA helicase activity,molecular_function,13,96,1.76639459431841,0.0079705702023298,0.0314097544204061,0.328078068595892
GO:0030117,membrane coat,cellular_component,18,147,1.59724220773533,0.0110361741263029,0.0325250263327269,0.328078068595892
GO:0016747,"transferase activity, transferring acyl groups other than amino-acyl groups",molecular_function,14,107,1.70671052103806,0.0085836909871244,0.0339901614788816,0.328078068595892
GO:0006289,nucleotide-excision repair,biological_process,3,10,3.91324340895156,0.0018393623543838,0.0358734374213662,0.328078068595892
GO:0001510,RNA methylation,biological_process,4,17,3.06921051682476,0.0024524831391784,0.0365726371549519,0.328078068595892
GO:0009452,RNA capping,biological_process,4,17,3.06921051682476,0.0024524831391784,0.0365726371549519,0.328078068595892
GO:0043039,tRNA aminoacylation,biological_process,7,42,2.1740241160842,0.0042918454935622,0.038923518837651,0.339190664156673
GO:0006412,translation,biological_process,19,162,1.52986882242962,0.0116492949110975,0.0419098519349086,0.339830859325477
GO:0004298,threonine-type endopeptidase activity,molecular_function,4,18,2.8986988214456,0.0024524831391784,0.0442534020638909,0.339830859325477
GO:0005839,proteasome core complex,cellular_component,4,18,2.8986988214456,0.0024524831391784,0.0442534020638909,0.339830859325477
GO:0051603,proteolysis involved in cellular protein catabolic process,biological_process,4,18,2.8986988214456,0.0024524831391784,0.0442534020638909,0.339830859325477
GO:0016817,"hydrolase activity, acting on acid anhydrides",molecular_function,11,81,1.77142705755009,0.0067443286327406,0.0445679815508822,0.339830859325477
GO:0006281,DNA repair,biological_process,32,308,1.35523581262392,0.0196198651134273,0.0490264846825814,0.364709215321642
GO:0003697,single-stranded DNA binding,molecular_function,4,19,2.74613572558004,0.0024524831391784,0.0527648617334102,0.374262391364886
GO:0005249,voltage-gated potassium channel activity,molecular_function,4,19,2.74613572558004,0.0024524831391784,0.0527648617334102,0.374262391364886
GO:0004514,nicotinate-nucleotide diphosphorylase (carboxylating) activity,molecular_function,3,12,3.2610361741263,0.0018393623543838,0.0586588461496205,0.387117780509821
GO:0009435,NAD biosynthetic process,biological_process,3,12,3.2610361741263,0.0018393623543838,0.0586588461496205,0.387117780509821
GO:0000775,"chromosome, centromeric region",cellular_component,7,46,1.98497854077253,0.0042918454935622,0.0594137532407361,0.387117780509821
GO:0008168,methyltransferase activity,molecular_function,26,246,1.37864943946803,0.0159411404046597,0.059654215357251,0.387117780509821
GO:0016272,prefoldin complex,cellular_component,8,56,1.86344924235789,0.0049049662783568,0.0624364705597957,0.396731740015369
GO:0005789,endoplasmic reticulum membrane,cellular_component,7,47,1.94274495479865,0.0042918454935622,0.0654023472068539,0.398954317961809
GO:0008080,N-acetyltransferase activity,molecular_function,7,47,1.94274495479865,0.0042918454935622,0.0654023472068539,0.398954317961809
GO:0004540,ribonuclease activity,molecular_function,3,13,3.01018723765505,0.0018393623543838,0.0720463302873919,0.430865308581461
GO:0008641,small protein activating enzyme activity,molecular_function,6,39,2.00679149177003,0.0036787247087676,0.0746271533825853,0.434899261957577
GO:0016876,"ligase activity, forming aminoacyl-tRNA and related compounds",molecular_function,5,30,2.1740241160842,0.003065603923973,0.0755726586352511,0.434899261957577
GO:0003677,DNA binding,molecular_function,123,1419,1.13067639018333,0.0754138565297364,0.0800350843964754,0.452050013720833
GO:0042393,histone binding,molecular_function,4,22,2.37166267209186,0.0024524831391784,0.0831635809539774,0.455693495467615
GO:0019888,protein phosphatase regulator activity,molecular_function,5,31,2.10389430588794,0.003065603923973,0.0846878188099736,0.455693495467615
GO:0007130,synaptonemal complex assembly,biological_process,3,14,2.79517386353683,0.0018393623543838,0.0866564679905629,0.455693495467615
GO:0008883,glutamyl-tRNA reductase activity,molecular_function,3,14,2.79517386353683,0.0018393623543838,0.0866564679905629,0.455693495467615
GO:0006511,ubiquitin-dependent protein catabolic process,biological_process,9,71,1.65348313054291,0.0055180870631514,0.0920407902129498,0.475804084999147
GO:0015992,proton transport,biological_process,3,15,2.60882893930104,0.0018393623543838,0.102396444431656,0.520515259194252
GO:0003682,chromatin binding,molecular_function,7,53,1.72281156368937,0.0042918454935622,0.10867150374802,0.5433575187401
GO:0006352,"transcription initiation, DNA-dependent",biological_process,9,74,1.58645003065604,0.0055180870631514,0.111944870378092,0.550696539763192
GO:0002098,tRNA wobble uridine modification,biological_process,3,16,2.44577713059473,0.0018393623543838,0.119167224742725,0.564680345225259
GO:0000049,tRNA binding,molecular_function,4,25,2.08706315144083,0.0024524831391784,0.120341712916859,0.564680345225259
GO:0008171,O-methyltransferase activity,molecular_function,4,25,2.08706315144083,0.0024524831391784,0.120341712916859,0.564680345225259
GO:0004017,adenylate kinase activity,molecular_function,4,26,2.00679149177003,0.0024524831391784,0.134079683642218,0.604987678358433
GO:0003746,translation elongation factor activity,molecular_function,3,17,2.30190788761857,0.0018393623543838,0.136866064940104,0.604987678358433
GO:0009986,cell surface,cellular_component,3,17,2.30190788761857,0.0018393623543838,0.136866064940104,0.604987678358433
GO:0051090,regulation of sequence-specific DNA binding transcription factor activity,biological_process,3,17,2.30190788761857,0.0018393623543838,0.136866064940104,0.604987678358433
GO:0006626,protein targeting to mitochondrion,biological_process,4,27,1.93246588096374,0.0024524831391784,0.148420466944344,0.642939196671461
GO:0006270,DNA-dependent DNA replication initiation,biological_process,12,112,1.39758693176842,0.0073574494175352,0.149667812995652,0.642939196671461
GO:0033588,Elongator holoenzyme complex,cellular_component,3,18,2.1740241160842,0.0018393623543838,0.155388597515347,0.658243364474734
GO:0008134,transcription factor binding,molecular_function,23,241,1.24487687974946,0.0141017780502759,0.162866319496266,0.671463224611484
GO:0051537,"2 iron, 2 sulfur cluster binding",molecular_function,5,38,1.71633482848753,0.003065603923973,0.162912388922131,0.671463224611484
GO:0006366,transcription from RNA polymerase II promoter,biological_process,3,19,2.05960179418503,0.0018393623543838,0.17463054797446,0.710164228429472
GO:0004336,galactosylceramidase activity,molecular_function,3,20,1.95662170447578,0.0018393623543838,0.194489132038248,0.717815526284831
GO:0006683,galactosylceramide catabolic process,biological_process,3,20,1.95662170447578,0.0018393623543838,0.194489132038248,0.717815526284831
GO:0009877,nodulation,biological_process,3,20,1.95662170447578,0.0018393623543838,0.194489132038248,0.717815526284831
GO:0030289,protein phosphatase 4 complex,cellular_component,3,20,1.95662170447578,0.0018393623543838,0.194489132038248,0.717815526284831
GO:0033014,tetrapyrrole biosynthetic process,biological_process,3,20,1.95662170447578,0.0018393623543838,0.194489132038248,0.717815526284831
GO:0051262,protein tetramerization,biological_process,3,20,1.95662170447578,0.0018393623543838,0.194489132038248,0.717815526284831
GO:0000221,"vacuolar proton-transporting V-type ATPase, V1 domain",cellular_component,4,30,1.73921929286736,0.0024524831391784,0.194596369705922,0.717815526284831
GO:0032040,small-subunit processome,cellular_component,7,62,1.47272601412156,0.0042918454935622,0.195339962890626,0.717815526284831
GO:0005664,nuclear origin of replication recognition complex,cellular_component,3,21,1.86344924235789,0.0018393623543838,0.214864177356734,0.743257612176228
GO:0006265,DNA topological change,biological_process,3,21,1.86344924235789,0.0018393623543838,0.214864177356734,0.743257612176228
GO:0008107,galactoside 2-alpha-L-fucosyltransferase activity,molecular_function,3,21,1.86344924235789,0.0018393623543838,0.214864177356734,0.743257612176228
GO:0016765,"transferase activity, transferring alkyl or aryl (other than methyl) groups",molecular_function,3,21,1.86344924235789,0.0018393623543838,0.214864177356734,0.743257612176228
GO:0007067,mitosis,biological_process,4,32,1.63051808706315,0.0024524831391784,0.227525799510002,0.743257612176228
GO:0042128,nitrate assimilation,biological_process,4,32,1.63051808706315,0.0024524831391784,0.227525799510002,0.743257612176228
GO:0016151,nickel ion binding,molecular_function,5,43,1.51676101122154,0.003065603923973,0.231302360056267,0.743257612176228
